Полное наименование|=> полное имя
Краткое наименование|=> краткое имя
Юридический адрес|=> юр адрес
Почтовый адрес|=> поч адрес
Телефакс(отдел, подразделение)|=> телефакс
Эл. почта (отдел, подразделение)|=> эл. поч
ОГРН|=> огрн
ИНН|=> инн
КПП|=> кпп
Номер расчётного счёта|=> № расч счёта
Наименование банка|=> наим банка
БИК|=> бик
Эл. почта для рассылки счетов(бухгалтерия)|=> эл поч для рас счетов бугалтерия
Номер корсчета|=> номер корсч
ОКПО|=> окпо
Гинеральный директор|=> гин дир
Полномочия генерального директора|=> пол гин дир
Операторы ЭДО(если есть)|=> эдо
данный о технике-1|=> бугати
данный о технике-2|=> 
данный о технике-3|=> 
данный о технике-4|=> 
данный о технике-5|=> 5
данный о технике-6|=> 
Точный адрес, ФИО и номер телефона  получателя|=> адрес фио номер
Заявку заполнил: ФИО, номер мобильного телефона|=> заполнитель
2024-02-18 12:25:08.657933
=======================разделение========================
